Title,Call No,Copy No,Rayon,Branch
Introduction to the Mathematics of Finance: From Risk Management to Options Pricing (Undergraduate Texts in Mathematics),MA,6045,B3,1
Les Arabes et l'art du récit : une étrange familiarité,FR,16120,B5,1
The Theory of Incentives: The Principal-Agent Model,EF,10021,B3,3
The 7 Habits of Highly Effective People,DP,19079,B7,1
Qu'est ce que l'énergie nucléaire ? (BULLES DE SCIENCES) (French Edition),EN 3009,B2,1,Main
LES SCIENCES ARABES EN AFRIQUE (Manuscrits du désert) (French Edition),SH,18028,B6,1
Islamic Science and the Making of the European Renaissance (Transformations: Studies in the History of Science and Technology),HP,20019,B8,1
"Creativity, Inc. Overcoming the Unseen Forces That Stand in the Way of True Inspiration",DP,19011,B7,1
Martingale Methods in Financial Modelling (Stochastic Modelling and Applied Probability (36)),EF,10016,B3,1
La Boîte à outils de la gestion du stress (BàO La Boîte à Outils) (French Edition),DP,19029,B7,1
S'organiser pour réussir (Alisio),DP,19072,B7,1
La Boîte à outils de la Gestion des conflits (BàO La Boîte à Outils),DP,19028,B7,1
The Theory of Industrial Organization (The MIT Press),GI,12025,B4,3
Advanced Macroeconomics (The Mcgraw-hill Series in Economics),EF,10001,B3,1
Le Chaos - Poche (POCHE - Le Pommier) (French Edition),FR,16084,B5,1
Les Dieux Voyagent Toujours Incognito (Best) (French Edition),FR,16128,B5,1
Les Identites Meurtrieres (Ldp Litterature) (French Edition),FR,16133,B5,3
Gargantua (Folio Plus Classique) (French Edition),FR,16049,B5,1
L'Ombre du Vent (Le cimetiere des livres oublies) (French Edition),FR,16148,B5,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,BU,14006,B4,1
Quand la girafe danse avec le chacal (Maxi pratiques),FR,16175,B5,1
"Winners Never Cheat: Even in Difficult Times, New and Expanded Edition",DP,19090,B7,1
The Body,LA,17070,B5,1
Equations aux Derivees Partielles et Applications / Partial Differential Equations and Applications,MA,6031,B3,1
OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams 1Z0-803 & 1Z0-804) (Certification Press),IT 8015,B3,1,Main
Rising Strong,DP,19068,B7,1
Start where you are : life lessons in getting from where you are to where you want to be,DP,19073,B7,1
"Act Like a Success, Think Like a Success: Discovering Your Gift and the Way to Life's Riches",DP,19002,B7,1
Electron Transport in Nanostructures and Mesoscopic Devices: An Introduction,PH 1403,B1,1,Main
Les ressources insoupconnées de la colère (Pratiques),DP,19048,B7,1
"HBR's 10 Must Reads on Change Management (including featured article ""Leading Change,"" by John P. Kotter)",BI 4005,B2,1,Main
"HBR's 10 Must Reads on Managing Yourself (with bonus article ""How Will You Measure Your Life?"" by Clayton M. Christensen)",DP,19020,B7,1
Le Pere Goriot (French Edition),FR,16100,B5,1
"L'identité, une fable philosophique (Philosophies) (French Edition)",PI,21010,B8,1
Les Identites Meurtrieres (Ldp Litterature) (French Edition),FR,16133,B5,4
Le Proces Bac 2005 + Orson Welles (French Edition),FR,16105,B5,1
Comment Se Faire Des Amis (Le Livre de Poche) (French Edition),DP,19010,B7,3
Blink : The Power of Thinking Without Thinking,DP,19004,B7,1
Copenhagen,LA,17137,B5,1
La bataille des Trois Rois,FR,16055,B5,1
"Gestion de projets culturels - Conception, mise en oeuvre, direction: Conception, mise en oeuvre, direction (Cursus) (French Edition)",GI,12008,B4,1
Nonlinear Systems Analysis (Classics in Applied Mathematics) (No. 42),MA,6063,B3,1
SYSTEMES DYNAMIQUES 2 (ETUDES),MA,6082,B3,1
Calcul scientifique - 2ème édition - Cours et exercices corrigés: Cours et exercices corrigés (Sciences Sup) (French Edition),MA,6014,B3,1
Fluid Mechanics 8e In SI Units,PH 253,B1,2,Main
physique quantique t1 3ed (SAVOIRS ACTUELS),PH 1414,B1,1,Main
Le Pendule de Foucault (Ldp Litterature) (French Edition),FR,16099,B5,1
MILLENIUM 3 LA REINE DANS LE PALAIS DES COURANTS D'AIR BABEL NOIR,FR,16156,B5,1
MILLENIUM T 2 ; LA FILLE QUI REVAIT D'UN BIDON D'ESSENCE ET D'UNE ALLUMETTE,FR,16157,B5,1
L'Islam expliqué aux enfants (et à leurs parents) (Expliqué à ...) (French Edition),FR,16146,B5,1
MILLENIUM T1 LES HOMMES QUI N'AIMAIENT PAS LES FEMMES BABEL NOIR 37,FR,16158,B5,1
Radar Equations for Modern Radar (Artech House Radar),MA,6074,B3,1
Electronic Transport in Mesoscopic Systems (Cambridge Studies in Semiconductor Physics and Microelectronic Engineering),PH 1 B1,1,Main,207
B5  1  Main 208  Notre-Dame du Nil,FR,16163,B5,1
Les Identites Meurtrieres (Ldp Litterature) (French Edition),FR,16133,B5,5
Green's Functions with Applications (Advances in Applied Mathematics),MA,6035,B3,1
Dora Bruder (Folio (Gallimard)) (French Edition),FR,16041,B5,1
Traitement du signal - Représentation des signaux et systèmes continus (Références sciences),PH 3 B1,1,Main,213
B5  8  Main 214  Les Identites Meurtrieres (Ldp Litterature) (French Edition),FR,16133,B5,6
Les Identites Meurtrieres (Ldp Litterature) (French Edition),FR,16133,B5,7
Contre-Histoire de la Philosophie Tome 6: Les Radicalités Existentielles: Contre-Histoire de la Philosophie T.6 (Le Livre de Poche) (French Edition),PI,21001,B8,1
Le Boson et le Chapeau Mexicain (Folio essais) (French Edition),FR,16082,B5,1
LHC : le boson de Higgs (Le Collège) (French Edition),SH,18031,B6,2
Level 5: Heart of Darkness (2nd Edition) (Penguin Readers: Level 5),LA,17045,B5,1
Cold Mountain,LA,17011,B5,1
Level 5: Wuthering Heights (2nd Edition) (Penguin Readers: Level 5),LA,17049,B5,1
